movie_id,person_id
840464,76422
1368166,116805
1168190,1500758
1315303,100734
1084242,1318201
1084242,76595
1317288,129561
1242898,568322
83533,2710
1234731,1211000
858024,1395183
1311031,1283010
1198994,7623
991494,70652
425274,91268
24428,12891
157336,525
680493,8296
803796,3003169
803796,1453550
575265,9033
1246049,59
1054867,4762
269149,76595
269149,165787
19995,2710
1061474,15218
1233413,1056121
76600,2710
156022,20907
1062722,10828
1228246,2103746
1234821,129894
1272837,1795072
1291608,2152816
617126,1212522
27205,525
1218925,1286723
1397364,56194
911430,86270
1223601,145228
155,525
533533,20307
524047,76422
1456349,120229
1214931,20204
634649,1293994
1236153,23430
980477,2367353
1087192,69797
569094,2451598
569094,1046497
569094,89596
438631,137427
798645,11090
335984,137427
872585,525
693134,137427
315635,1293994
361743,86270
177572,70238
177572,227439
533535,17825
299534,19271
299534,19272
639988,10099
346698,45400
99861,12891
1242419,139098
402431,54507
1197306,19769
950387,53925
324857,936670
324857,151007
324857,59918
701387,122423
1078605,84833
354912,8
986056,836732
1220564,1016214
216015,1137903
1100988,2034
414906,32278
475557,57130
1241982,4524084
1241982,1461394
1241982,1513971
496243,21684
1422096,2831618
198663,1179066
541671,3950
552524,1540069
109445,1120694
109445,15774
822119,1301933
122917,108
385687,18865
271110,19272
271110,19271
210577,7467
574475,1181022
574475,1938317
1197137,55499
447365,15218
1038392,1607672
939243,93364
912649,940376
1022789,182001
68718,138
967941,54507
106646,1032
436969,15218
1035259,62854
1184918,66193
1259102,1864582
76341,20629
502356,1719706
502356,113901
429617,1293994
284054,1056121
519182,124748
228150,19769
420818,15277
558449,578
10681,7
49026,525
168259,2127
10138,15277
22949,68573
507089,2103746
244786,136495
263115,366
546554,67367
507086,930707
447273,87742
575264,9033
297762,6884
718930,40684
11324,1032
321612,15557
150540,12890
1726,15277
38757,76595
38757,121830
329865,137427
14160,12890
68721,1108
653346,1179066
675,11343
505642,1056121
945961,932248
283995,15218
762509,92784
152601,5953
299537,53068
299537,53069
453395,7623
49051,108
242582,57113
823464,98631
209112,15217
257344,10965
419430,291263
1007734,235430
49013,7879
1288072,90609
812583,67367
1284120,1480411
545611,1317730
545611,1383612
1175942,1261455
786892,20629
181812,15344
1124620,90609
284053,55934
568124,76595
568124,1318201
16869,138
603692,40644
1071585,1288796
12445,11343
1327862,1053420
447277,17633
346364,1113116
333339,488
315162,1450348
2062,7087
335983,91268
351286,51894
290859,55252
20352,124748
20352,124747
539972,556172
616037,55934
330457,1120694
330457,15774
207703,957
573435,1399841
573435,1399842
324552,40644
1930,87742
1084199,1087245
823219,1328012
298618,1113116
550988,17825
588,8296
82690,165787
324786,2461
12444,11343
767,11343
293660,55252
98566,66739
49521,15217
8966,19850
1865,17633
426063,138781
296096,1096867
36557,10702
181808,67367
559,7623
508442,12890
866398,19769
313369,136495
150689,11181
102651,1032536
497698,93286
637649,956
474350,1113116
675353,93364
205596,77965
1022787,2009739
1022787,1171950
1022787,1684652
350,5065
102899,59026
140607,15344
746036,40684
131631,10943
845781,51851
281338,32278
374720,525
14836,57646
572802,2127
1011477,1674284
127585,9032
120467,5655
281957,223
58,1704
82507,55499
9502,57741
9502,57742
1072790,82511
1124566,71609
87101,47005
370172,87257
46738,137427
260513,7087
10191,66193
10191,69797
37799,7467
138843,2127
524434,1395183
260346,75035
284052,55499
68726,10828
273248,138
339403,11090
12155,510
423108,1607672
458156,40644
39254,17825
353081,9033
316029,1276373
337167,15890
285,1704
402900,23964
270303,558929
508883,608
76492,185438
57800,229962
57800,71729
264660,2036
566525,1144604
77338,84425
77338,84426
882569,956
436270,59521
146233,137427
631843,11614
37724,39
47971,40256
75656,18865
286217,578
337404,50767
38365,17494
72190,12995
1064213,118415
381288,11614
646385,1039527
646385,66681
198184,82194
384018,40684
661374,67367
346910,1108
495764,1936668
454626,93364
787699,101666
110415,21684
102382,87742
8681,35453
273481,137427
293167,236539
1151272,1048523
206647,39
1087891,30310
425909,52443
6977,1223
6977,1224
493922,1145520
18785,57130
62177,126638
62177,59803
604079,10943
420809,20307
301528,84496
419743,1142171
337339,37932
438148,8023
299054,293911
466420,1032
792307,122423
615457,1169024
417859,12098
646380,55710
240832,59
273477,54248
527774,1932178
527774,227439
122906,7018
530385,1145520
1422,1032
870028,77003
291805,54507
1124,525
464052,6884
936108,12098
34851,41671
57158,108
70981,578
1011985,64151
166426,20308
166426,20307
934433,1039527
934433,66681
1160360,935669
398978,1032
166428,69797
177677,9033
82633,53333
76338,47005
667538,1551545
840705,37153
976573,21198
937941,1881494
126889,578
1138194,1317685
1138194,1317686
439079,1401474
810,12098
259316,11343
135397,930707
339846,71600
10195,11181
262543,119953
537915,1586194
392044,11181
270946,44114
270946,18863
