,movie_id,title,overview,budget,revenue,popularity,release_date,poster_url
,840464,Greenland 2: Migration,"Having found the safety of the Greenland bunker after the comet Clarke decimated the Earth, the Garrity family must now risk everything to embark on a perilous journey across the wasteland of Europe to find a new home.",90.0,20.806332,365.031,,https://image.tmdb.org/t/p/original/z2tqCJLsw6uEJ8nJV8BsQXGa3dr.jpg
,1368166,The Housemaid,"Trying to escape her past, Millie Calloway accepts a job as a live-in housemaid for the wealthy Nina and Andrew Winchester. But what begins as a dream job quickly unravels into something far more dangerous—a sexy, seductive game of secrets, scandal, and power.",35.0,334.411969,298.0136,,https://image.tmdb.org/t/p/original/mJGFduBPAzTKzOeCeTjBBOxnalB.jpg
,1168190,The Wrecking Crew,"Estranged half-brothers Jonny and James reunite after their father's mysterious death. As they search for the truth, buried secrets reveal a conspiracy threatening to tear their family apart.",78.5,89.0,262.7138,,https://image.tmdb.org/t/p/original/gbVwHl4YPSq6BcC92TQpe7qUTh6.jpg
,1315303,Primate,"Lucy, a college student, along with her friends, spend their vacation at her family's home in Hawaii, which includes her pet chimpanzee, Ben. However, when Ben contracts rabies after being bitten by a rabid animal, the group must fight for their lives in order to avoid the now-violent chimp.",21.0,39.722402,245.729,,https://image.tmdb.org/t/p/original/57cyAMc9c8iveudogTRuDOQjujn.jpg
,1084242,Zootopia 2,"After cracking the biggest case in Zootopia's history, rookie cops Judy Hopps and Nick Wilde find themselves on the twisting trail of a great mystery when Gary De'Snake arrives and turns the animal metropolis upside down. To crack the case, Judy and Nick must go undercover to unexpected new parts of town, where their growing partnership is tested like never before.",150.0,1802.806721,216.4433,,https://image.tmdb.org/t/p/original/oJ7g2CifqpStmoYQyaLQgEU32qO.jpg
,1317288,Marty Supreme,"Marty Mauser, a young man with a dream no one respects, goes to hell and back in pursuit of greatness.",65.0,148.8,162.6208,,https://image.tmdb.org/t/p/original/lYWEXbQgRTR4ZQleSXAgRbxAjvq.jpg
,1242898,Predator: Badlands,"Cast out from his clan, a young Predator finds an unlikely ally in a damaged android and embarks on a treacherous journey in search of the ultimate adversary.",105.0,184.561056,152.1325,,https://image.tmdb.org/t/p/original/pHpq9yNUIo6aDoCXEBzjSolywgz.jpg
,83533,Avatar: Fire and Ash,"In the wake of the devastating war against the RDA and the loss of their eldest son, Jake Sully and Neytiri face a new threat on Pandora: the Ash People, a violent and power-hungry Na'vi tribe led by the ruthless Varang. Jake's family must fight for their survival and the future of Pandora in a conflict that pushes them to their emotional and physical limits.",350.0,1439.13385,137.1843,,https://image.tmdb.org/t/p/original/tzCsmggqZc7fOmkAXZXXvsdxOsq.jpg
,1234731,Anaconda,"A group of friends facing mid-life crises head to the rainforest with the intention of remaking their favorite movie from their youth, only to find themselves in a fight for their lives against natural disasters, giant snakes and violent criminals.",45.0,131.454208,90.8714,,https://image.tmdb.org/t/p/original/qxMv3HwAB3XPuwNLMhVRg795Ktp.jpg
,858024,Hamnet,"The powerful story of love and loss that inspired the creation of Shakespeare's timeless masterpiece, Hamlet.",35.0,70.561705,94.6025,,https://image.tmdb.org/t/p/original/vbeyOZm2bvBXcbgPD3v6o94epPX.jpg
